Years,Month,Day,10ml,5ml
2021,9,16,84999.6,0
2021,9,17,0,0
2021,9,18,0,0
2021,9,19,0,0
2021,9,20,0,0
2021,9,21,8998500,0
2021,9,22,0,0
2021,9,23,0,2362500
2021,9,24,6100983,4559625
2021,9,25,0,0
2021,9,26,0,0
2021,9,27,212499,250005
2021,9,28,0,0
2021,9,29,10798200,0
2021,9,30,5399100,0
2021,10,1,17997000,125002.5
2021,10,2,0,50001
2021,10,3,0,0
2021,10,4,8998500,2362500
2021,10,5,12957840,5670000
2021,10,6,0,0
2021,10,7,0,0
2021,10,8,0,0
2021,10,9,0,0
2021,10,10,0,0
2021,10,11,14037660,0
2021,10,12,0,11390001
2021,10,13,84999.6,0
2021,10,14,0,0
2021,10,15,0,0
2021,10,16,0,250005
2021,10,17,0,0
2021,10,18,0,0
2021,10,19,0,0
2021,10,20,0,2362500
2021,10,21,21596400,0
2021,10,22,9083499.6,11340000
2021,10,23,0,0
2021,10,24,0,0
2021,10,25,19649259,0
2021,10,26,0,0
2021,10,27,26995500,0
2021,10,28,0,0
2021,10,29,44992500,0
2021,10,30,0,0
2021,10,31,0,0
2021,11,1,0,11340000
2021,11,2,84999.6,250005
2021,11,3,10798200,0
2021,11,4,0,10773000
2021,11,5,0,11390001
2021,11,6,0,0
2021,11,7,0,0
2021,11,8,0,5670000
2021,11,9,0,0
2021,11,10,3959340,4725000
2021,11,11,0,0
2021,11,12,0,0
2021,11,13,0,0
2021,11,14,0,0
2021,11,15,5611599,2835000
2021,11,16,21596400,50001
2021,11,17,13227795,2268000
2021,11,18,28795200,27455001
2021,11,19,62989500,0
2021,11,20,0,0
2021,11,21,0,0
2021,11,22,4499250,0
2021,11,23,0,0
2021,11,24,8998500,0
2021,11,25,0,0
2021,11,26,0,0
2021,11,27,26995500,9450000
2021,11,28,0,0
2021,11,29,0,0
2021,11,30,0,0
2021,12,1,0,0
2021,12,2,0,17010000
2021,12,3,0,0
2021,12,4,14037660,0
2021,12,5,0,0
2021,12,6,0,2362500
2021,12,7,0,75001.5
2021,12,8,0,0
2021,12,9,0,0
2021,12,10,0,0
